(10:57:39) INFO:    [Legendary]:        Legendary location: /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/legendary
(10:57:39) INFO:    [Gog]:              GOGDL location: /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/gogdl
(10:57:39) INFO:    [Connection]:       Connectivity: check-online
(10:57:39) INFO:    [Connection]:       Pinging external endpoints
(10:57:39) INFO:    [Gog]:              Checking for existing gog manifests
(10:57:40) WARNING: [Backend]:          Failed to register protocol with OS.
(10:57:40) INFO:    [Connection]:       Connectivity: online
(10:57:40) INFO:    [Backend]:          User Not Found, removing it from Store
(10:57:40) ERROR:   [Gog]:              Unable to syncQueued playtime, userData not present
(10:57:40) INFO:    [Gog]:              Running command: GOGDL_CONFIG_PATH=/home/phaedrus/.config/heroic/gogdlConfig /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/gogdl --auth-config-path /home/phaedrus/.config/heroic/gog_store/auth.json auth
(10:57:40) INFO:    [Backend]:          AreWeAntiCheatYet data downloaded
(10:57:41) INFO:    [Backend]:          Frontend Ready
(10:57:41) INFO:    [Backend]:          Checking for new Heroic Updates
(10:57:41) INFO:    [Backend]:          Checking for current version changelog
(10:57:41) INFO:    [Frontend]:         Updated to a new version, cleaaning up the cache.
(10:57:41) INFO:    [Legendary]:        Running command: LEGENDARY_CONFIG_PATH=/home/phaedrus/.config/heroic/legendaryConfig/legendary /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/legendary cleanup
(10:57:41) INFO:    [Frontend]:         Refreshing undefined Library
(10:57:41) WARNING: [Backend]:          refresh not implemented on Sideload Library Manager
(10:57:41) INFO:    [Legendary]:        Refreshing library...
(10:57:42) INFO:    [Legendary]:        Running command: LEGENDARY_CONFIG_PATH=/home/phaedrus/.config/heroic/legendaryConfig/legendary /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/legendary --version
(10:57:42) INFO:    [Gog]:              Running command: GOGDL_CONFIG_PATH=/home/phaedrus/.config/heroic/gogdlConfig /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/gogdl --auth-config-path /home/phaedrus/.config/heroic/gog_store/auth.json --version
(10:57:42) INFO:    [Nile]:             Running command: NILE_CONFIG_PATH=/home/phaedrus/.config/heroic/nile_config /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/nile --version
(10:57:42) INFO:    [Winetricks]:       Downloading Winetricks
(10:57:43) INFO:    [Backend]:          
System Information:
CPU: 16x 13th Gen Intel(R) Core(TM) i7-13620H
Memory: 67.1 GB (used: 20.02 GB)
GPUs:
  GPU 0:
    Name: NVIDIA Corporation AD106M [GeForce RTX 4070 Max-Q / Mobile]
    IDs: D=2820 V=10de SD=13cb SV=1462
    Driver: nvidia
  GPU 1:
    Name: Intel Corporation Raptor Lake-P [UHD Graphics]
    IDs: D=a7a8 V=8086 SD=13cb SV=1462
    Driver: i915
OS: Arch Linux 6.13.8-arch1-1 (linux)

The current system is not a Steam Deck
We are not running inside a Flatpak container

Software Versions:
  Heroic: 2.16.1 Scopper Gaban
  Legendary: 0.20.36 Urban Flight (Heroic)
  gogdl: 1.1.2
  comet: comet 0.2.0
  Nile: 1.1.2 Will A. Zeppeli

(10:57:45) INFO:    [WineDownloader]:   Updating wine versions info
(10:57:45) INFO:    [WineDownloader]:   Fetching upstream information...
(10:57:45) INFO:    [WineDownloader]:   wine versions updated
(10:57:46) INFO:    [Backend]:          Starting the Download Queue
(10:58:05) INFO:    [Backend]:          Heroic: Setting autoUpdateGames to true (previous value: false)
(10:58:09) INFO:    [Backend]:          Heroic: Setting addDesktopShortcuts to true (previous value: false)
(10:58:11) INFO:    [Backend]:          Heroic: Setting addSteamShortcuts to true (previous value: false)
(10:58:12) INFO:    [Backend]:          Heroic: Setting addStartMenuShortcuts to true (previous value: false)
(10:58:15) INFO:    [Legendary]:        Running command: LEGENDARY_CONFIG_PATH=/home/phaedrus/.config/heroic/legendaryConfig/legendary /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/legendary --version
(10:58:15) INFO:    [Gog]:              Running command: GOGDL_CONFIG_PATH=/home/phaedrus/.config/heroic/gogdlConfig /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/gogdl --auth-config-path /home/phaedrus/.config/heroic/gog_store/auth.json --version
(10:58:15) INFO:    [Nile]:             Running command: NILE_CONFIG_PATH=/home/phaedrus/.config/heroic/nile_config /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/nile --version
(10:58:19) INFO:    [Backend]:          Heroic: Setting experimentalFeatures to {"enableNewDesign":true,"enableHelp":false,"cometSupport":true} (previous value: undefined)
(10:58:25) INFO:    [Legendary]:        Running command: LEGENDARY_CONFIG_PATH=/home/phaedrus/.config/heroic/legendaryConfig/legendary /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/legendary --version
(10:58:25) INFO:    [Gog]:              Running command: GOGDL_CONFIG_PATH=/home/phaedrus/.config/heroic/gogdlConfig /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/gogdl --auth-config-path /home/phaedrus/.config/heroic/gog_store/auth.json --version
(10:58:25) INFO:    [Nile]:             Running command: NILE_CONFIG_PATH=/home/phaedrus/.config/heroic/nile_config /usr/lib/heroic/app.asar.unpacked/build/bin/x64/linux/nile --version
(10:58:34) INFO:    [WineDownloader]:   Start installation of wine version GE-Proton-latest
(10:58:38) INFO:    [WineDownloader]:   Start installation of wine version Wine-GE-latest
(10:58:38) INFO:    [Backend]:          Downloaded: 592.48 KB / 465.99 MB  @233.54 KB/s (0.12%)
(10:58:41) INFO:    [Backend]:          Downloaded: 6.64 MB / 465.99 MB  @2.42 MB/s (1.43%)
(10:58:43) INFO:    [Backend]:          Downloaded: 2.25 MB / 222.76 MB  @922.06 KB/s (1.01%)
(10:58:43) INFO:    [Backend]:          Downloaded: 12.73 MB / 465.99 MB  @2.44 MB/s (2.73%)
(10:58:45) INFO:    [Backend]:          Downloaded: 11.7 MB / 222.76 MB  @3.76 MB/s (5.25%)
(10:58:46) INFO:    [Backend]:          Downloaded: 19.9 MB / 465.99 MB  @2.86 MB/s (4.27%)
(10:58:48) INFO:    [Backend]:          Downloaded: 20.35 MB / 222.76 MB  @3.46 MB/s (9.14%)
(10:58:48) INFO:    [Backend]:          Downloaded: 27.1 MB / 465.99 MB  @2.89 MB/s (5.82%)
(10:58:51) INFO:    [Backend]:          Downloaded: 33.39 MB / 465.99 MB  @2.51 MB/s (7.16%)
(10:58:51) INFO:    [Backend]:          Downloaded: 28.21 MB / 222.76 MB  @2.58 MB/s (12.66%)
(10:58:53) INFO:    [Backend]:          Downloaded: 40.58 MB / 465.99 MB  @2.87 MB/s (8.71%)
(10:58:53) INFO:    [Backend]:          Downloaded: 35.65 MB / 222.76 MB  @2.97 MB/s (16.00%)
(10:58:55) INFO:    [Backend]:          Downloaded: 40.7 MB / 222.76 MB  @2.38 MB/s (18.27%)
(10:58:56) INFO:    [Backend]:          Downloaded: 45.88 MB / 465.99 MB  @2.11 MB/s (9.85%)
(10:58:57) INFO:    [Backend]:          Downloaded: 48.32 MB / 465.99 MB  @1.88 MB/s (10.37%)
(10:58:58) INFO:    [Backend]:          Downloaded: 45.33 MB / 222.76 MB  @1.85 MB/s (20.35%)
(10:58:58) INFO:    [Backend]:          Downloaded: 50.61 MB / 465.99 MB  @2.18 MB/s (10.86%)
(10:58:59) INFO:    [Backend]:          Downloaded: 49.36 MB / 222.76 MB  @2.79 MB/s (22.16%)
(10:59:01) INFO:    [Backend]:          Downloaded: 60.73 MB / 465.99 MB  @3.58 MB/s (13.03%)
(10:59:02) INFO:    [Backend]:          Downloaded: 59.98 MB / 222.76 MB  @3.48 MB/s (26.93%)
(10:59:03) INFO:    [Backend]:          Downloaded: 68.36 MB / 465.99 MB  @3.04 MB/s (14.67%)
(10:59:05) INFO:    [Backend]:          Downloaded: 68.47 MB / 222.76 MB  @3.38 MB/s (30.74%)
(10:59:05) INFO:    [Backend]:          Downloaded: 74.09 MB / 465.99 MB  @3.78 MB/s (15.90%)
(10:59:08) INFO:    [Backend]:          Downloaded: 82.6 MB / 465.99 MB  @3.39 MB/s (17.73%)
(10:59:08) INFO:    [Backend]:          Downloaded: 84.53 MB / 222.76 MB  @4.73 MB/s (37.95%)
(10:59:10) INFO:    [Backend]:          Downloaded: 92.85 MB / 465.99 MB  @4.08 MB/s (19.92%)
(10:59:11) INFO:    [Backend]:          Downloaded: 94.51 MB / 222.76 MB  @4.17 MB/s (42.43%)
(10:59:13) INFO:    [Backend]:          Downloaded: 99.51 MB / 465.99 MB  @2.48 MB/s (21.35%)
(10:59:13) INFO:    [Backend]:          Downloaded: 100.24 MB / 222.76 MB  @2.29 MB/s (45.00%)
(10:59:15) INFO:    [Backend]:          Downloaded: 104.94 MB / 465.99 MB  @2.1 MB/s (22.52%)
(10:59:16) INFO:    [Backend]:          Downloaded: 106.79 MB / 222.76 MB  @1.92 MB/s (47.94%)
(10:59:17) INFO:    [Backend]:          Downloaded: 109.68 MB / 222.76 MB  @2.66 MB/s (49.24%)
(10:59:19) INFO:    [Backend]:          Downloaded: 113.66 MB / 465.99 MB  @2.74 MB/s (24.39%)
(10:59:20) INFO:    [Backend]:          Downloaded: 117.52 MB / 222.76 MB  @3.13 MB/s (52.76%)
(10:59:21) INFO:    [Backend]:          Downloaded: 121.3 MB / 465.99 MB  @3.05 MB/s (26.03%)
(10:59:23) INFO:    [Backend]:          Downloaded: 125.48 MB / 222.76 MB  @2.08 MB/s (56.33%)
(10:59:24) INFO:    [Backend]:          Downloaded: 126.18 MB / 465.99 MB  @1.38 MB/s (27.08%)
(10:59:26) INFO:    [Backend]:          Downloaded: 129.32 MB / 222.76 MB  @1.53 MB/s (58.06%)
(10:59:27) INFO:    [Backend]:          Downloaded: 130.26 MB / 465.99 MB  @1.63 MB/s (27.95%)
(10:59:28) INFO:    [Backend]:          Downloaded: 131.73 MB / 222.76 MB  @955.41 KB/s (59.14%)
(10:59:29) INFO:    [Backend]:          Downloaded: 131.26 MB / 465.99 MB  @404.9 KB/s (28.17%)
(10:59:31) INFO:    [Backend]:          Downloaded: 132.82 MB / 222.76 MB  @434.78 KB/s (59.63%)
(10:59:32) INFO:    [Backend]:          Downloaded: 133.4 MB / 465.99 MB  @844.64 KB/s (28.63%)
(10:59:33) INFO:    [Backend]:          Downloaded: 134.93 MB / 222.76 MB  @1.05 MB/s (60.57%)
(10:59:35) INFO:    [Backend]:          Downloaded: 136.16 MB / 465.99 MB  @1.07 MB/s (29.22%)
(10:59:35) INFO:    [Backend]:          Downloaded: 137.25 MB / 222.76 MB  @934.58 KB/s (61.61%)
(10:59:37) INFO:    [Backend]:          Downloaded: 137.79 MB / 465.99 MB  @657.77 KB/s (29.57%)
(10:59:38) INFO:    [Backend]:          Downloaded: 139.06 MB / 222.76 MB  @732.44 KB/s (62.43%)
